Name ,Type of Treatment,Bed Availability,Contact Number,Website,Address,Eligible Min Ages,Eligible Max Age,Eligible Genders,Co-Occurring Disorders? ,Methadone? ,Pregnant Women? ,Disabled?,Take Uninsured?,Insurances Accepted
Fenway Health,multiple outpatient,5,617-927-6281,https://fenwayhealth.org/care/medical/medication-assisted-treatment/,"1340 Boylston Street Boston, MA 02215",13,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Cigna, Aetna, Unicare, Senior Care Options, OneCare, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Blue Cross Non-MA"
Health Care Resource Center - Chelsea,multiple outpatient,5,617-889-8779,www.hcrcenters.com,"175 Crescent Ave., Chelsea MA 02150",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Cigna, Aetna, Senior Care Options, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Other, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, WellSense Boston Children's ACO, East Boston Neighborhood Health WellSense Alliance, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Allways, Optum, BCBSMA, EDS, BSAS-DPH Grant , self-pay"
Addiction Treatment Center of NE,multiple outpatient,5,617-254-1271,www.atcne.net,"77-F Warren St Brighton, MA 02135",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, WellSense Boston Children's ACO, East Boston Neighborhood Health WellSense Alliance, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health, Co-pays may apply for non-Medicaid members; self-pay options may be available for those without insurance on sliding scale (requires income verification, OTP program only)"
Eliot Community Human Services,multiple outpatient,5,781-388-6249,https://www.eliotchs.org/,"173 Chelsea Street, Everett MA 02149
",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Fallon Community Health Plan/Commercial, Cigna, WellSense - MassHealth Essential (MCO), Blue Cross Non-MA"
North Charles Institute for Addictions,multiple outpatient,5,617-661-5700 ext 113,http://www.northcharles.org/,"54 Washburn Avenue, Cambridge MA 02140
",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan"
Arbour Counseling Services,multiple outpatient,5,833-370-2687,https://arbourhealth.com/,"100 George P. Hassett Drive Medford, MA 02155",13,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Spectrum Health Systems - Saugus,multiple outpatient,5,508-917-6792,https://www.spectrumhealthsystems.org/,"184 Broadway St Saugus, MA 01906",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
CleanSlate - East Boston,multiple outpatient,5,617-874-4160,https://www.cleanslatecenters.com/,"82 Parist St, 3FL, East Boston, MA 02136",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
CleanSlate - Lynn,multiple outpatient,5,781-731-6804,https://www.cleanslatecenters.com/,"280 Union St, Suite 302, Lynn MA 01901",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
"Bridgewell Counseling Services, Lynn OTP",multiple outpatient,5,781-581-9270,https://bridgewell.org/recovery-services/treatment/bridgewell-counseling-services-lynn/,"66 Silsbee St, Bridgewell Lynn, MA 01901",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Lynn Community Health Center,multiple outpatient,5,781-780-4555,https://www.lynnchc.org/addiction-services/,"280 Union Street, Lynn MA 01867",18,9999,All,Y,Y,Y,Y,N,Community Care Cooperative (C3)
Health Care Resource Center - Peabody,multiple outpatient,5,978-535-9190,www.hcrcenters.com,"172 Newbury St, Peabody MA 01960",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Senior Care Options, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, WellSense Boston Children's ACO, East Boston Neighborhood Health WellSense Alliance, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Self Pay, DPH Grant"
Northeast Family Services Substance Use Services,multiple outpatient,5,781-769-2655,www.northeastfamilyservices.com/substanceuseservices,"55 Providence Highway, Norwood MA 02062",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, WellSense - MassHealth Essential (MCO), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Blue Cross Non-MA, Other"
Lahey Behavioral Services Opioid Treatment Program,multiple outpatient,5,978-739-7677,www.nebhealth.org,"111 Middleton Rd, Danvers MA 01923",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan, East Boston Neighborhood Health WellSense Alliance, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health"
Sovner Center (Bridgewell),multiple outpatient,5,978-750-6828,https://bridgewell.org/behavioral-health-services/outpatient-clinics/the-sovner-center-danvers/,"125 Liberty St, 2nd Floor, Danvers MA 01923",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA"
Gosnold Inc - Stoughton OBAT,BOAT,5,508-540-6550,www.gosnold.org,"909 Sumner Street, Stoughton MA 02072",13,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, WellSense Boston Children's ACO, East Boston Neighborhood Health WellSense Alliance, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health"
Signature Healthcare OBAT,BOAT,5,508-894-0575,https://signature-healthcare.org/medical-services/behavioral-health-including-addiction-treatment/office-based-addiction-treatment,"360 Brockton Avenue, Abington MA 02351",18,9999,All,Y,Y,Y,Y,N,"All Mass Health, MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Fallon Community Health Plan/Commercial, Cigna, Aetna, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Southcoast Alliance, Steward Health Choice, Tufts Health Together (MCO)"
CleanSlate - Tweksbury,multiple outpatient,5,781-341-9041,https://www.cleanslatecenters.com/tewksbury-ma,"170 Main St Unit G4-g8, Tewksbury MA 01876",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
High Point Opioid Treatment Program,multiple outpatient,5,508-408-6180,hptc.org,"30 Meadowbrook Rd, Brockton MA 02301",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Other, WellSense - MA Connector Care & Qualified Health Plan"
Habit OPCO Brockton CTC,PHP,5,508-586-6300,https://www.ctcprograms.com/location/brockton-comprehensive-treatment-center/,"180 Centre St Brockton, MA 02302",18,9999,All,Y,Y,Y,Y,Y,"Self pay, MBHP (PCC Plan), Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Unicare, OneCare, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
"Outlets for Hope, Inc.",multiple outpatient,5,508-684-2371,https://outletsforhope.org/,"140 School Street Suite 1B, Brockton MA 02302",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, Cigna, Aetna, Unicare, Community Care Cooperative (C3), Steward Health Choice, Other, Fallon Health-Atrius"
Spectrum Health Systems - Framingham,multiple outpatient,5,508-917-6792,https://www.spectrumhealthsystems.org/,"68 Franklin St, Framingham MA 01701",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Mass General Brigham Bridge Clinic,multiple outpatient,5,978-688-7768,https://www.massgeneral.org/psychiatry/treatments-and-services/bridge-clinic,"600 Primrose Street, Suite 100, Haverhill MA 01830",13,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Cigna, Aetna, Unicare, Blue Cross Non-MA"
Acorn Health and Recovery,multiple outpatient,5,508-691-6086,https://acornhealthandrecovery.com/,"112 Main St. Suite 104, Northborough MA 01532",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Cigna, Aetna, Unicare, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA"
Community HealthLink,multiple outpatient,5,978-534-6116,https://www.communityhealthlink.org/,"40 Spruce St, Leominster MA 01453",18,9999,All,Y,Y,Y,Y,N,"Medicare, Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Light and Hope Addiction Treatment,multiple outpatient,5,978-301-3133,https://montrecovery.com/author/mrc/,"106 Carter St, Suite 23, Leominster MA 01453",18,9999,All,Y,Y,Y,Y,N,"Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, Cigna, Aetna, OneCare"
SaVida Health - Worcester,multiple outpatient,5,508-890-0990,https://savidahealth.com/listing/savida-health-worcester-ma/,"121 Lincoln St., Worcester MA 01605",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance"
CleanSlate Centers - Worcester,multiple outpatient,5,833-505-4673,https://www.cleanslatecenters.com/worcester-ma,"46 Obery St, Plymouth, MA 02360",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
SSTAR Lifeline,multiple outpatient,5,508-235-5010,sstar.org,"1010 South Main Steet, Fall River MA 02724",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan"
Kiwi Recovery,multiple outpatient,5,617-958-2339,https://www.kiwirecovery.com/,"86 Baker Ave, Extension Suite 230, Concord, MA 01742",12,9999,All,Y,Y,Y,Y,N,Private insurance
NuLife,multiple outpatient,5,888-298-2186,https://nulifebehavioralmass.com/substance-abuse-treatment-massachusetts/#,"130 Worcester Road, Suite 2, Framingham, MA 01702",18,9999,All,Y,Y,Y,Y,N,All insurance
Advanced Psych Services,multiple outpatient,5,508-753-3220,https://www.psychma.com/,"425 Lake Ave N Ste 101, Worcester, MA 01605",18,9999,All,Y,Y,Y,Y,N,All insurance